epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
112,2980.86,1.13382,0.74432,0.01321,0.9094,0.83273,0.8967,0.55663,1.37675,0.65622,0.01772,0.000995863,0.000995863,0.000995863
113,3007.12,1.12475,0.75365,0.01329,0.89896,0.81789,0.89183,0.54529,1.42016,0.70314,0.01859,0.00098173,0.00098173,0.00098173
114,3033.2,1.12135,0.73619,0.01304,0.85697,0.83857,0.88892,0.54493,1.41057,0.68788,0.01835,0.000967601,0.000967601,0.000967601
115,3059.27,1.12868,0.71005,0.01325,0.92958,0.79372,0.90425,0.54553,1.41928,0.67297,0.01834,0.000953482,0.000953482,0.000953482
116,3085.46,1.14283,0.71248,0.01302,0.91299,0.82341,0.90192,0.55937,1.39898,0.67182,0.01771,0.000939374,0.000939374,0.000939374
117,3111.36,1.12416,0.71009,0.01314,0.91996,0.79892,0.89224,0.52821,1.47933,0.70763,0.01915,0.000925281,0.000925281,0.000925281
118,3137.46,1.10212,0.69808,0.01279,0.88351,0.8296,0.88939,0.54073,1.42387,0.72531,0.0184,0.000911205,0.000911205,0.000911205
119,3163.5,1.11473,0.69243,0.01283,0.91901,0.80045,0.88371,0.54516,1.39881,0.73641,0.0182,0.000897149,0.000897149,0.000897149
120,3189.49,1.1062,0.71093,0.01246,0.91158,0.84529,0.90473,0.55129,1.42391,0.66939,0.01836,0.000883115,0.000883115,0.000883115
121,3215.9,1.11819,0.71166,0.0128,0.89945,0.81614,0.90455,0.53148,1.46901,0.69992,0.0189,0.000869108,0.000869108,0.000869108
122,3241.97,1.12036,0.68992,0.01278,0.91146,0.8296,0.89504,0.54691,1.42605,0.65153,0.01879,0.00085513,0.00085513,0.00085513
123,3268.28,1.12411,0.69623,0.0129,0.88927,0.83408,0.88633,0.56492,1.34042,0.68002,0.01684,0.000841183,0.000841183,0.000841183
124,3294.33,1.0882,0.67253,0.01235,0.89171,0.82063,0.89562,0.55054,1.3935,0.68446,0.01796,0.000827271,0.000827271,0.000827271
125,3320.45,1.11998,0.69792,0.01288,0.88894,0.82556,0.8899,0.54744,1.41228,0.71341,0.01809,0.000813395,0.000813395,0.000813395
126,3346.43,1.11164,0.70802,0.01253,0.92447,0.77578,0.887,0.55807,1.36543,0.74434,0.01689,0.00079956,0.00079956,0.00079956
127,3372.56,1.11965,0.66719,0.01282,0.90015,0.82287,0.89637,0.55382,1.39367,0.70591,0.01795,0.000785768,0.000785768,0.000785768
128,3398.65,1.07663,0.65315,0.0125,0.891,0.81614,0.89526,0.54796,1.39771,0.69071,0.01847,0.000772022,0.000772022,0.000772022
129,3424.77,1.08628,0.6889,0.01258,0.91239,0.82287,0.89706,0.54848,1.38211,0.66,0.01749,0.000758324,0.000758324,0.000758324
130,3450.8,1.08938,0.67087,0.0125,0.87291,0.83857,0.89096,0.52619,1.4457,0.74165,0.01817,0.000744677,0.000744677,0.000744677
131,3477.05,1.07491,0.6538,0.01231,0.88925,0.83408,0.90471,0.54179,1.42834,0.67736,0.018,0.000731085,0.000731085,0.000731085
132,3503.17,1.08138,0.6601,0.01246,0.872,0.85542,0.89797,0.54507,1.391,0.69037,0.01755,0.000717549,0.000717549,0.000717549
133,3529.1,1.09824,0.69484,0.01207,0.88546,0.84305,0.89795,0.54526,1.39749,0.66682,0.01763,0.000704073,0.000704073,0.000704073
134,3555.1,1.09801,0.69274,0.01243,0.89136,0.82735,0.90462,0.56022,1.38764,0.67745,0.01755,0.00069066,0.00069066,0.00069066
